Risedronic acid	target	Farnesyl pyrophosphate synthase
N-Succinyl Methionine	target	N-acylamino acid racemase
6-CHLORO-4-(CYCLOHEXYLOXY)-3-PROPYLQUINOLIN-2(1H)-ONE	target	Gag-Pol polyprotein
Indeglitazar	target	Peroxisome proliferator-activated receptor delta
[N-[N-(4-Methoxy-2,3,6-trimethylphenylsulfonyl)-L-aspartyl]-D-(4-amidino-phenylalanyl)]-piperidine	target	Trypsin-1
methyl (1R,2S)-2-(hydroxycarbamoyl)-1-{4-[(2-methylquinolin-4-yl)methoxy]benzyl}cyclopropanecarboxylate	target	Disintegrin and metalloproteinase domain-containing protein 17
1-[(2-AMINO-4-CHLORO-5-METHYLPHENYL)SULFONYL]-L-PROLINE	target	Genome polyprotein
Zinc	target	Tumor protein p73
Opaviraline	target	Gag-Pol polyprotein
Ketobemidone	target	Delta-type opioid receptor
(3R)-4-{[(3,4-dihydroxyphenyl)acetyl]oxy}-N-(2-formylindolizin-3-yl)-3-sulfino-D-valine	target	Beta-lactamase SHV-1
Azelnidipine	target	Voltage-dependent L-type calcium channel subunit beta-1
Lifitegrast	target	Integrin alpha-L
XL820	target	Platelet-derived growth factor receptor beta
Progabide	target	Gamma-aminobutyric acid type B receptor subunit 1
Regorafenib	target	Mitogen-activated protein kinase 11
Riboflavin	target	Flavin reductase (NADPH)
Gpi-1046	target	Peptidyl-prolyl cis-trans isomerase FKBP1A
Acylated ceftazidime	target	Regulatory protein BlaR1
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	target	Proteasome subunit alpha type-5
Melatonin	target	Ribosyldihydronicotinamide dehydrogenase [quinone]
Ketoconazole	target	Potassium voltage-gated channel subfamily H member 2
Cinnarizine	target	Voltage-dependent L-type calcium channel subunit alpha-1S
SGS-742	target	Gamma-aminobutyric acid type B receptor subunit 1
Glutamic acid	target	Aspartate aminotransferase, cytoplasmic
SALOPHEN-10-PROPIONATE IRON CHELATE	target	Heme oxygenase
6-Hydroxy-5-undecyl-4,7-benzothiazoledione	target	Cytochrome b-c1 complex subunit 8
Tobramycin	target	23S ribosomal RNA
Marimastat	target	Stromelysin-2
Erythropoietin	target	Erythropoietin receptor
3-(6-HYDROXY-NAPHTHALEN-2-YL)-BENZO[D]ISOOXAZOL-6-OL	target	Estrogen receptor beta
VX-765	target	Interleukin-1 beta
2-Anhydro-3-Fluoro-Quinic Acid	target	3-dehydroquinate dehydratase
Acetylsalicylic acid	target	Myc proto-oncogene protein
Artenimol	target	Merozoite surface protein 1
4,4'-DIPYRIDYL DISULFIDE	target	Cytochrome P450 2A6
Alprenolol	target	Beta-3 adrenergic receptor
Carvedilol	target	Inward rectifier potassium channel 2
Donepezil	target	Acetylcholinesterase
Glyburide	target	Bile salt export pump
CNS-5161	target	Glutamate receptor ionotropic, NMDA 1
Bis(Adenosine)-5'-Pentaphosphate	target	Adenylate kinase
Lauric acid	target	Group IID secretory phospholipase A2
2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Oxadiazole	target	Glycogen phosphorylase, muscle form
Ardeparin	target	Antithrombin-III
Artenimol	target	Peroxiredoxin-1
Theophylline	target	Poly [ADP-ribose] polymerase 1
octyl 3-amino-3-deoxy-2-O-(2,6-dideoxy-alpha-L-lyxo-hexopyranosyl)-beta-D-galactopyranoside	target	Histo-blood group ABO system transferase
Corticosterone	target	Mineralocorticoid receptor
Ferroheme C	target	Cytochrome c4
Copper	target	Plasma protease C1 inhibitor
Dextrothyroxine	target	Thyroid hormone receptor beta
Imidazole	target	Acyl carrier protein
2-Nonyl-4-quinolinol 1-oxide	target	Cytochrome b-c1 complex subunit 7
Oseltamivir acid	target	Neuraminidase
Thiopental	target	Muscarinic acetylcholine receptor M3
Isocitric Acid	target	Isocitrate dehydrogenase [NADP]
Oxyphenbutazone	target	Group IIE secretory phospholipase A2
