ivabradine	interaction	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
simeprevir	interaction	genome polyprotein
loperamide	interaction	glutamate receptor ionotropic, nmda 2a
trovafloxacin	interaction	thromboxane-a synthase
ruboxistaurin	interaction	casein kinase ii subunit alpha'
valdecoxib	interaction	prostaglandin g/h synthase 1
hydroquinone	interaction	carbonic anhydrase 12
maprotiline	interaction	transient receptor potential cation channel subfamily m member 3
sunitinib	interaction	map kinase-interacting serine/threonine-protein kinase 2
mecasermin	interaction	insulin receptor
molindone	interaction	histamine h1 receptor
axitinib	interaction	serine/threonine-protein kinase 4
glutamic acid	interaction	excitatory amino acid transporter 3
salicylic acid	interaction	carbonic anhydrase 12
brexanolone	interaction	gaba-a receptor alpha-1/beta-2/gamma-2
prednisolone tebutate	interaction	glucocorticoid receptor
melperone	interaction	muscarinic acetylcholine receptor m4
lithium carbonate	interaction	glycogen synthase kinase-3
prochlorperazine	interaction	alpha-2b adrenergic receptor
gabexate	interaction	solute carrier family 22 member 2
ivermectin	interaction	multidrug resistance protein 1
pseudoephedrine	interaction	beta-2 adrenergic receptor
fedratinib	interaction	tyrosine-protein kinase jak3
rizatriptan	interaction	5-hydroxytryptamine receptor 1e
zolpidem	interaction	multidrug resistance protein 1
fluoxetine	interaction	sodium-dependent noradrenaline transporter
losartan	interaction	angiotensin-converting enzyme
lorlatinib	interaction	focal adhesion kinase 1
crizotinib	interaction	activin receptor type-1
mezlocillin	interaction	prostaglandin e2 receptor ep3 subtype
ceritinib	interaction	fibroblast growth factor receptor 2
buspirone	interaction	alpha-1a adrenergic receptor
mesoridazine	interaction	histamine h1 receptor
becaplermin	interaction	platelet-derived growth factor receptor
bufylline	interaction	adenosine receptor
nicotine	interaction	neuronal acetylcholine receptor subunit alpha-7
asenapine	interaction	histamine h2 receptor
crizotinib	interaction	serine/threonine-protein kinase sbk1
loxapine	interaction	potassium channel subfamily t member 1
sorafenib	interaction	carbonic anhydrase 7
olanzapine	interaction	5-hydroxytryptamine receptor 3a
nintedanib	interaction	misshapen-like kinase 1
raloxifene	interaction	mu-type opioid receptor
mifepristone	interaction	glucocorticoid receptor
tamoxifen	interaction	5-hydroxytryptamine receptor 1a
miconazole	interaction	alpha-2a adrenergic receptor
cefuroxime	interaction	bacterial penicillin-binding protein
papaverine	interaction	camp-specific 3',5'-cyclic phosphodiesterase 4a
suramin	interaction	signal transducer and activator of transcription 5a
selegiline	interaction	monoamine oxidase
ruboxistaurin	interaction	ribosomal protein s6 kinase alpha-2
lofepramine	interaction	sodium-dependent noradrenaline transporter
teniposide	interaction	dna topoisomerase 2-alpha
sunitinib	interaction	mitogen-activated protein kinase 7
prednisolone	interaction	androgen receptor
tilidine	interaction	mu-type opioid receptor
pilocarpine	interaction	muscarinic acetylcholine receptor m5
citalopram	interaction	alpha-1b adrenergic receptor
clomipramine	interaction	membrane-associated progesterone receptor component 1
sulfafurazole	interaction	endothelin b receptor
yohimbine	interaction	5-hydroxytryptamine receptor 2b
disulfiram	interaction	sodium-dependent noradrenaline transporter
oleic acid	interaction	free fatty acid receptor 1
acetazolamide	interaction	carbonic anhydrase
carbachol	interaction	muscarinic acetylcholine receptor m4
ketoconazole	interaction	cytochrome p450 51
talazoparib tosylate	interaction	poly [adp-ribose] polymerase 2
tryptophan	interaction	probable g-protein coupled receptor 139
escitalopram	interaction	sodium-dependent dopamine transporter
epoprostenol	interaction	prostaglandin e2 receptor ep1 subtype
progesterone	interaction	c-8 sterol isomerase
ergotamine	interaction	alpha-1a adrenergic receptor
bendamustine	interaction	histone deacetylase 8
pergolide	interaction	d(2) dopamine receptor
vandetanib	interaction	macrophage-stimulating protein receptor
pimethixene	interaction	5-hydroxytryptamine receptor 2a
sunitinib	interaction	serine/threonine-protein kinase tao1
diazoxide	interaction	sulfonylurea receptor 1, kir6.2
quinine	interaction	equilibrative nucleoside transporter 4
gabapentin	interaction	voltage-dependent calcium channel subunit alpha-2/delta-1
nintedanib	interaction	activin receptor type-1
propranolol	interaction	beta-3 adrenergic receptor
empagliflozin	interaction	sodium/glucose cotransporter 4
amiloride	interaction	acid-sensing ion channel 3
hexocyclium	interaction	muscarinic acetylcholine receptor m1
quetiapine	interaction	beta-2 adrenergic receptor
flunarizine	interaction	potassium channel subfamily k member 2
nintedanib	interaction	ribosomal protein s6 kinase alpha-1
sorafenib	interaction	fibroblast growth factor receptor 3
dicycloverine	interaction	muscarinic acetylcholine receptor m4
paracetamol	interaction	cannabinoid receptor 1
crizotinib	interaction	high affinity nerve growth factor receptor
bromocriptine	interaction	alpha-1b adrenergic receptor
dichlorophen	interaction	indoleamine 2,3-dioxygenase 1
crizanlizumab	interaction	p-selectin
fluphenazine	interaction	sodium channel alpha subunits; brain (types i, ii, iii)
tamsulosin	interaction	alpha-2a adrenergic receptor
memantine	interaction	glutamate nmda receptor; grin1/grin2a
alitretinoin	interaction	retinoic acid receptor alpha
nilotinib	interaction	carbonic anhydrase 14
sildenafil	interaction	dual 3',5'-cyclic-amp and -gmp phosphodiesterase 11a
ditiocarb	interaction	histone-lysine n-methyltransferase ehmt2
clonidine	interaction	solute carrier family 22 member 2
tacalcitol	interaction	vitamin d3 receptor
orphenadrine	interaction	sodium channel protein type 10 subunit alpha
vasopressin	interaction	vasopressin v2 receptor
timolol	interaction	beta-1 adrenergic receptor
methysergide	interaction	zinc finger protein mex-5
mianserin	interaction	alpha-2a adrenergic receptor
sunitinib	interaction	mitogen-activated protein kinase kinase kinase kinase 2
voriconazole	interaction	cytochrome p450 2c19
folic acid	interaction	dihydrofolate reductase
nalbuphine	interaction	delta-type opioid receptor
mianserin	interaction	muscarinic acetylcholine receptor m2
bosutinib	interaction	serine/threonine-protein kinase chk2
timolol	interaction	5-hydroxytryptamine receptor 1a
eosin	interaction	protein arginine n-methyltransferase 1
clorotepine	interaction	potassium channel subfamily k member 9
telaprevir	interaction	cathepsin s
ifenprodil	interaction	glutamate receptor ionotropic, nmda 2c
ziprasidone	interaction	histamine h2 receptor
bosutinib	interaction	tyrosine-protein kinase srms
neratinib	interaction	tyrosine-protein kinase mer
miglustat	interaction	ceramide glucosyltransferase
terconazole	interaction	muscarinic acetylcholine receptor m1
ruxolitinib	interaction	serine/threonine-protein kinase pak 4
tropisetron	interaction	5-hydroxytryptamine receptor 4
nilotinib	interaction	mitogen-activated protein kinase kinase kinase mlt
erlotinib	interaction	mitogen-activated protein kinase 9
fenoterol	interaction	beta-2 adrenergic receptor
hydroquinidine	interaction	sodium channel subunit beta-1
orphenadrine	interaction	potassium voltage-gated channel subfamily h member 2
midazolam	interaction	cytochrome p450 3a4
abametapir	interaction	c-c chemokine receptor type 8
ponesimod	interaction	sphingosine 1-phosphate receptor 1
hydroquinidine	interaction	sodium channel protein type 5 subunit alpha
stanozolol	interaction	cytochrome p450 2c9
macitentan	interaction	endothelin b receptor
axitinib	interaction	fibroblast growth factor receptor 3
histamine	interaction	histamine h3 receptor
lopinavir	interaction	gag-pol polyprotein
fedratinib	interaction	tyrosine-protein kinase fes/fps
propafenone	interaction	alpha-1a adrenergic receptor
prazosin	interaction	alpha-1b adrenergic receptor
lomefloxacin	interaction	dna gyrase subunit a
pimozide	interaction	voltage-dependent t-type calcium channel subunit alpha-1h
sulpiride	interaction	carbonic anhydrase 9
bosutinib	interaction	receptor tyrosine-protein kinase erbb-2
ruxolitinib	interaction	serine/threonine-protein kinase dclk3
omapatrilat	interaction	neprilysin
fedratinib	interaction	abelson tyrosine-protein kinase 2
mercaptopurine	interaction	prostaglandin g/h synthase 1
epinastine	interaction	multidrug resistance protein 1
daclizumab	interaction	interleukin-2 receptor
corticotropin	interaction	melanocortin receptor 4
aztreonam	interaction	beta-lactamase
pramipexole	interaction	5-hydroxytryptamine receptor 7
dopamine	interaction	adenosine a2b receptor
zafirlukast	interaction	epidermal growth factor receptor
metergoline	interaction	substance-k receptor
promazine	interaction	sodium channel alpha subunits; brain (types i, ii, iii)
naltrexone	interaction	mu-type opioid receptor
sunitinib	interaction	serine/threonine-protein kinase 38-like
dabigatran etexilate	interaction	multidrug and toxin extrusion protein 1
vadadustat	interaction	vascular endothelial growth factor a
orlistat	interaction	gastric triacylglycerol lipase
sulconazole	interaction	beta-lactamase
fluphenazine	interaction	muscarinic acetylcholine receptor m2
tasosartan	interaction	type-1 angiotensin ii receptor
olanzapine	interaction	beta-2 adrenergic receptor
telaprevir	interaction	chymase
crizotinib	interaction	serine/threonine-protein kinase nim1
vandetanib	interaction	ephrin type-a receptor 5
bosutinib	interaction	cyclin-dependent kinase 16
fedratinib	interaction	leucine-rich repeat serine/threonine-protein kinase 2
dabrafenib	interaction	tgf-beta receptor type-1
mequitazine	interaction	histamine h1 receptor
prazosin	interaction	alpha-2c adrenergic receptor
benzocaine	interaction	sodium channel protein type 1 subunit alpha
imidapril	interaction	angiotensin-converting enzyme
fenfluramine	interaction	5-hydroxytryptamine receptor 1d
tapentadol	interaction	solute carrier family 22 member 1
tizanidine	interaction	alpha-1b adrenergic receptor
montelukast	interaction	5-hydroxytryptamine receptor 2b
paliperidone	interaction	5-hydroxytryptamine receptor 1e
nefazodone	interaction	histamine h1 receptor
methazolamide	interaction	carbonic anhydrase
dinoprost	interaction	prostaglandin e2 receptor ep4 subtype
carvedilol	interaction	alpha-1a adrenergic receptor
cyproheptadine	interaction	alpha-1d adrenergic receptor
regorafenib	interaction	vascular endothelial growth factor receptor 2
masoprocol	interaction	androgen receptor
erlotinib	interaction	receptor-interacting serine/threonine-protein kinase 2
doxazosin	interaction	alpha-2c adrenergic receptor
ruboxistaurin	interaction	g protein-coupled receptor kinase 7
risperidone	interaction	serotonin 2 (5-ht2) receptor
crizotinib	interaction	receptor-interacting serine/threonine-protein kinase 3
lacosamide	interaction	carbonic anhydrase 2
insulin glulisine	interaction	insulin receptor
gefitinib	interaction	map kinase-interacting serine/threonine-protein kinase 2
dextromethorphan	interaction	cytochrome p450 2d6
agomelatine	interaction	5-hydroxytryptamine receptor 2b
ethambutol	interaction	probable arabinosyltransferase a
dipyridamole	interaction	camp-specific 3',5'-cyclic phosphodiesterase 7b
miconazole	interaction	steroid 17-alpha-hydroxylase/17,20 lyase
bosutinib	interaction	serine/threonine-protein kinase plk1
indomethacin	interaction	prostaglandin d2 receptor 2
thiomersal	interaction	carbonic anhydrase 12
