(1e)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2,3-dihydro-1h-inden-1-one oxime	target	serine/threonine-protein kinase b-raf
cephalexin	target	penicillin-binding protein 2b
pridinol	target	muscarinic acetylcholine receptor m4
suramin	target	protein arginine n-methyltransferase 1
(s)-camphor	target	transient receptor potential cation channel subfamily v member 1
neratinib	target	ribosomal protein s6 kinase alpha-1
isradipine	target	voltage-dependent l-type calcium channel subunit alpha-1f
2-[3-chloro-6-[2,2-difluoro-2-(1-oxidopyridin-1-ium-2-yl)ethyl]imino-1-hydroxypyridin-2-yl]-n-[(1r)-1-(3-chlorophenyl)ethyl]acetamide	target	prothrombin
imc-1c11	target	vascular endothelial growth factor receptor 1
midostaurin	target	tyrosine-protein kinase yes
neratinib	target	mitogen-activated protein kinase kinase kinase 13
cyproheptadine	target	d(1a) dopamine receptor
danazol	target	sex hormone-binding globulin
thiothixene	target	d(2) dopamine receptor
belantamab mafodotin	target	high affinity immunoglobulin gamma fc receptor i
tacrine	target	cytochrome p450 2d6
mitotane	target	5-hydroxytryptamine receptor 6
methylergometrine	target	5-hydroxytryptamine receptor 1b
(3r,4r,5s,6r)-6-fluoro-3,4,5-trihydroxytetrahydro-2h-pyran-2-olate	target	alpha-xylosidase
n-(5-{4-chloro-3-[(2-hydroxyethyl)sulfamoyl]phenyl}-4-methyl-1,3-thiazol-2-yl)acetamide	target	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
fedratinib	target	cyclin-dependent kinase 16
nicotinic acid	target	nicotinate-nucleotide pyrophosphorylase [carboxylating]
dasatinib	target	serine/threonine-protein kinase tnni3k
mepacrine	target	alpha-2b adrenergic receptor
vandetanib	target	ephrin type-b receptor 2
nicotine	target	neuronal acetylcholine receptor subunit beta-4
metergoline	target	5-hydroxytryptamine receptor 4
miglitol	target	sucrase-isomaltase, intestinal
terfenadine	target	5-hydroxytryptamine receptor 2c
desloratadine	target	5-hydroxytryptamine receptor 2a
ipragliflozin	target	sodium/glucose cotransporter 2
tolmetin	target	lactoylglutathione lyase
hydralazine	target	voltage-dependent l-type calcium channel subunit alpha-1c
n-(3-carboxypropanoyl)-l-norvaline	target	putative ornithine carbamoyltransferase
probucol	target	trypsin
choline salicylate	target	phospholipase d2
fedratinib	target	serine/threonine-protein kinase b-raf
sumatriptan	target	5-hydroxytryptamine receptor 5a
saccharin	target	carbonic anhydrase 3
