dipalmitoylphosphatidylcholine	mapped_to	colfosceril palmitate
phosphatidylcholine, dipalmitoyl	inverse_isa	acid, phosphatidic
1,2-dipalmitoylphosphatidylcholine	same_as	colfosceril palmitate [dup] (substance)
1,2 dipalmitoyl glycerophosphocholine	inverse_isa	phosphatidic acid
starch branching enzyme	inverse_isa	hexosyltransferases
glucan branching enzyme	inverse_isa	hexosyltransferase (substance)
amylo-(1,4->,6)-transglycosylase	exhibited_by	q-enzyme
ibmx	inverse_isa	phosphodiesterase inhibitor
3-isobutyl-1-methylxanthine	inverse_isa	phosphodiesterase inhibitor
isobutylmethylxanthine 03 01	inverse_isa	substance with phosphodiesterase inhibitor mechanism of action (substance)
mibx	inverse_isa	phosphodiesterase antag
ibmx	inverse_isa	phosphodiesterase inhibitor-containing product
3-isobutyl-1-methylxanthine	inverse_isa	phosphoric diester hydrolase inhib
3 isobutyl 1 methylxanthine	inverse_isa	product containing phosphodiesterase inhibitor
isobutyltheophylline	inverse_isa	phosphodiesterase inhibitor-containing product
methylisobutylxanthine 01 03	inverse_isa	phosphodiesterase inhibitor product
1 methyl 3 isobutylxanthine	inverse_isa	phosphodiesterase inhibitors
methylphenyltetrahydropyridine (substance)	inverse_isa	agents, dopamine
methylphenyltetrahydropyridine	inverse_isa	neurotoxins
methylphenyltetrahydropyridine	inverse_isa	dopaminergic drugs
pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-	inverse_isa	neurotoxin (substance)
mptp	see	pyridinium, 1-methyl-4-phenyl-
n-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	inverse_isa	dopamine agents
mptp	inverse_isa	neurotoxin
methylphenyltetrahydropyridine (substance)	entry_combination_of	mptp - methylphenyltetrahydropyridine-induced parkinsonism
methylphenyltetrahydropyridine (substance)	inverse_isa	dopaminergic agents
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (mptp)	inverse_isa	neurotoxin
methylphenyltetrahydropyridine	inverse_isa	agents, dopaminergic
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	inverse_isa	dopaminergic agents
pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-	has_causative_agent	mptp neurotoxicity syndrome
pyridine, 1,2,3,6-tetrahydro-1-methyl-4-phenyl-	has_causative_agent	neurotoxicity syndrome, mptp
mptp	inverse_isa	dopamine preparation
methylphenyltetrahydropyridine	inverse_isa	dopamine drugs
1 methyl 4 phenylpyridinium	inverse_isa	herbicide
n-methyl-4-phenylpyridinium	see_from	methylphenyltetrahydropyridine
mpp+	inverse_isa	herbicides
n methyl 4 phenylpyridine	inverse_isa	herbicide
1 methyl 4 phenylpyridine	inverse_isa	herbicide
1-methyl-4-phenylpyridine	inverse_isa	herbicide (substance)
