naphthalidine	inverse_isa	oncogen
a- naphthylamine	inverse_isa	carcinogens
naphthalidine	disposition_of	carcinogen
alpha naphthylamine	inverse_isa	cancer causing agents
sar iso ang	inverse_isa	antihypertensive drug
sar iso ang	inverse_isa	anti hypertensives
sar iso ang	inverse_isa	antihypertensive drugs
sar iso ang	inverse_isa	anti hypertensive drug
sarile	inverse_isa	antihypertensives drugs
dipyridyl	inverse_isa	reagents indicators
acetohydroxy acid reductoisomerase	inverse_isa	enzymes
alpha-aminoadipic acid	inverse_isa	excitatory amino acid antagonists
alpha-aminoadipic acid	inverse_isa	aa antag excitatory
aminopurine	inverse_isa	antimetabolite
koshland reagent	inverse_isa	reagents and indicators
koshland's reagent i	inverse_isa	reagents and indicators
koshland's reagent i	inverse_isa	indicators reagents
mesna	mapped_to	maid regimen
mesna	mapped_to	tic regimen
product containing mesna	inverse_isa	protective drug
mesnum	inverse_isa	protective agents
mesnum	has_member	mucolytics
mesna	inverse_isa	antidote
mesna	inverse_isa	pharmaceutical / biologic product
mesna	inverse_isa	cytoprotective agent
mesna	may_be_prevented_by	cystitis
mesna	may_be_prevented_by	drug toxicity
mesna	may_be_prevented_by	hemorrhage
mesna	inverse_isa	protectants
mesna	chemotherapy_regimen_has_component	tip regimen
mesna	subset_includes_concept	fda unii code terminology
mesna	inverse_isa	protectant
fast scarlet base b	subset_includes_concept	cptac medical history form
ercalcidiol	inverse_isa	bone density conservation agents
dopac - dihydroxyphenylacetic acid	inverse_isa	catecholamine metabolite
l-dops	inverse_isa	antiparkinson agents
vasopressors droxidopa	inverse_isa	antiparkinson agents
threo dops	inverse_isa	sympathomimetic agents
product containing droxidopa	inverse_isa	sympathomimetic agent
droxidopa	inverse_isa	amino acid derivatives
threo-dops	inverse_isa	antiparkinson drugs
droxidopa	inverse_isa	amino acids
droxidopa	inverse_isa	sympathomimetic
vasopressors droxidopa	structural_class_of	catecholamine
droxidopa	may_be_treated_by	postural hypotension
droxidopa	inverse_isa	antiparkinsonian agents
product containing droxidopa	inverse_isa	antiparkinson agent
tenamfetamina	inverse_isa	hallucinogens
beta-alanine	mapped_to	benfuracarb
.beta.-alanine	mapped_to	netarsudil
beta-alanine	inverse_isa	aminoacid
beta-alanine	inverse_isa	alanine
beta-alanine	has_component	beta-alanine measurement
beta-alanine	inverse_isa	alanines
beta-alanine	may_be_prevented_by	nutritional and metabolic diseases
beta alanine	may_be_treated_by	nutritional and metabolic diseases
meglutol	inverse_isa	anticholesteremic agents
meglutol	inverse_isa	hmg-coa reductase inhibitor
meglutol	inverse_isa	enzyme inhibitor-containing product
meglutol	inverse_isa	statin-containing product
meglutol	inverse_isa	enzyme inhibitors
meglutol	inverse_isa	hypolipidemic agent
meglutol	inverse_isa	cholesterol lowering drugs
para-aminobenzoic acid	see_from	para aminobenzoate
aminobenzoic acid	has_free_acid_or_base_form	potassium aminobenzoate
product containing para-aminobenzoic acid	inverse_isa	vitamin b complex
aminobenzoic acid	inverse_isa	amino acid derivative-containing product
p aminobenzoic acid	inverse_isa	sunscreen
trichochromogenic factor	inverse_isa	amino acid derivative product
aminobenzoic acid	isa	acide méfénamique
aminobenzoic acid	has_contraindicated_drug	drug hypersensitivity nos
aminobenzoic acid	may_be_prevented_by	sunburns
para-aminobenzoic acid product	inverse_isa	sunscreen
dalfampridine	has_contraindicated_drug	[d]convulsions
cns stimulants dalfampridine	has_contraindicated_drug	renal insufficiency
fampridina	inverse_isa	potassium channel blocker
fampridine	inverse_isa	cation channel blockers
dalfampridine	inverse_isa	pesticide
fampridine	inverse_isa	potassium channel blocker product
dalfampridine	inverse_isa	pesticides
dalfampridine	inverse_isa	k channel block
dalfampridine	inverse_isa	potassium channel blocker-containing product
gbl - gamma-butyrolactone	inverse_isa	solvent
para hydroxybenzoate hydroxylase	inverse_isa	hydroxylase
gamma hydroxybutyrate	mapped_from	sodium oxybate
oxybate	has_contraindicated_class	alcohol drinking habit
gamma hydroxybutyrate	may_be_treated_by	cataplexy
gamma hydroxybutyrate	therapeutic_class_of	central nervous system agents
para hydroxyphenylpyruvate oxidase	inverse_isa	dioxygenase
inosinate phosphatase	is_biochemical_function_of_gene_product	esterases
icosapentaenoic acid	subset_includes_concept	ncit antineoplastic agent terminology
eicosapentanoic acid	subset_includes_concept	fda unii code terminology
eicosapentanoic acid	subset_includes_concept	nci drug dictionary terminology
eicosapentaenoic acid	has_active_ingredient	icosapent ethyl
product containing eicosapentaenoic acid	has_direct_substance	increased eicosapentaenoic acid diet
eicosapentaenoic acid	inverse_isa	fish oil
oxytryptophan	inverse_isa	atypical antidepressants
oxitriptan	inverse_isa	tryptophan
ticlopidine hydrochloride	inverse_isa	thienopyridines
ticlopidine hydrochloride	inverse_isa	ticlopidine
ticlopidine hydrochloride	inverse_isa	ticlopidine product
ticlopidine hydrochloride	has_contraindicated_drug	disorder of hemostasis
ticlopidine hydrochloride	may_be_treated_by	intracranial embolism thrombosis
product containing ticlopidine hydrochloride	has_contraindicated_drug	drug allergy
ticlopidine hcl	may_be_prevented_by	thromboembolic disease
ticlopidine hcl	inverse_isa	blood platelet antiaggregant
ticlopidine hcl	inverse_isa	chlorobenzene
product containing ticlopidine hydrochloride	inverse_isa	antiplatelet drug
ácido aminocapróico	subset_includes_concept	national cancer institute drug dictionary
omega-aminocaproic acid	inverse_isa	antifibrinolytic agent
omega-aminocaproic acid	inverse_isa	fibrinolytic inhibitor
aminocaproic acid	inverse_isa	antifibrinolytic agents
omega-aminohexanoic acid	inverse_isa	anticoagulants
aminocaproic acid	inverse_isa	haemostatic agent
epsilon-aminocaproic acid	inverse_isa	hemostatic drug
epsilon s	may_be_treated_by	haemorrhage
